x,y,z,arc_length
0.36324337,0.1419657,-6.9015813,515
0.38395533,0.112153046,-6.6965084,516
0.45999205,0.0027063442,-5.943654,517
0.47817302,-0.02346321,-5.763641,518
0.4552819,-0.065714434,-5.70927,519
0.30370232,-0.34549224,-5.349241,520
0.14956015,-0.63,-4.983125,521
0.055627596,-0.4566241,-4.760018,522
0.024541216,-0.39924645,-4.686182,523
0.019273447,-0.38952348,-4.6736703,524
-0.046534956,-0.2680577,-4.517363,525
0.04234518,-0.38769433,-4.428512,526
0.049228203,-0.3969592,-4.421631,527
0.08952746,-0.45120376,-4.381345,528
0.2223583,-0.63,-4.248557,529
0.39776894,-0.39388946,-4.073203,530
0.6138865,-0.097041324,-3.5569382,531
0.63,-0.08894611,-3.5469575,532
0.45998642,-0.0035336448,-3.4416497,533
0.39908344,0.027063178,-3.403926,534
0.38866016,0.03229968,-3.3974698,535
-0.20609498,0.33109644,-3.0290742,536
-0.21651824,0.33633295,-3.0226178,537
-0.27742124,0.36692977,-2.984894,538
-0.43945345,0.44833252,-2.8845303,539
-0.44561306,0.43345615,-2.8676193,540
-0.63,0.434047,-2.6513505,541
-0.4689525,0.43456307,-2.4624567,542
-0.4728952,-0.4599061,-2.2787917,543
-0.470317,-0.48239902,-1.9675943,544
-0.3242202,-0.46006775,-1.8183911,545
-0.28806084,-0.41114745,-1.797593,546
-0.2672743,-0.37438542,-1.8325157,547
-0.23755255,-0.32182103,-1.8824501,548
-0.2325932,-0.31305018,-1.8907821,549
0.14835753,0.36067998,-2.5308034,550
0.1533169,0.36945084,-2.5391355,551
0.18303864,0.42201522,-2.58907,552
0.25884345,0.55607975,-2.7164268,553
0.22482803,0.63,-2.7754235,554
0.13699512,0.4391268,-2.9277623,555
0.11167177,0.38409558,-2.9716835,556
0.107443854,0.37490773,-2.9790163,557
-0.21485054,-0.32548308,-3.5380082,558
-0.21907847,-0.33467093,-3.5453413,559
-0.24440181,-0.38970214,-3.5892625,560
-0.33799455,-0.5930922,-3.751591,561
-0.3585493,-0.63,-3.7601604,562
-0.36562714,-0.6172911,-3.7631114,563
-0.14029582,-0.4380834,-3.7379527,564
-0.081785426,-0.39154968,-3.7314198,565
-0.0715206,-0.383386,-3.7302737,566
0.38964584,-0.016616844,-3.678784,567
0.39991066,-0.008453146,-3.6776378,568
0.45842105,0.038080607,-3.671105,569
0.53846383,0.10173924,-3.662168,570
0.5678116,0.11237094,-3.6392348,571
0.63,0.15114647,-3.727711,572
0.33629048,0.33427948,-4.145575,573
0.1678426,0.63,-4.211193,574
0.068118565,0.45492843,-4.25004,575
0.03591027,0.3983848,-4.2625866,576
0.030455723,0.38880903,-4.2647114,577
-0.2822941,-0.16024226,-4.386542,578
-0.3881686,-0.037750836,-4.6046953,579
